startup_name,sector,sub_vertical,city,investor,round_type,funding_usd,deal_date,deal_year,deal_month,sector_clean,round_clean,city_clean,sector_final,sector_clean_old
HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,1426000,2023-12-01,2023,12,Healthtech,Undisclosed,Hyderabad,Healthtech,Healthtech
FreshTech,RealEstate,Home Services,Delhi,"Accel, LCatterton, Tiger Global Management",Series B,9715000,2024-08-24,2024,8,Proptech,Series B,Delhi/NCR,Proptech,Proptech
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,140000,2021-01-04,2021,1,EV/Cleantech,Seed/Angel,Bengaluru,EV/Cleantech,EV/Cleantech
Myntra,EdTech,K12,Delhi,Falcon Edge,Seed,304000,2021-08-28,2021,8,Edtech,Seed/Angel,Delhi/NCR,Edtech,Edtech
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,14428000,2020-11-11,2020,11,Ecommerce/D2C,Series A,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,175000,2023-10-17,2023,10,Other,Seed/Angel,Bengaluru,Other,Other
EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,37000,2021-02-01,2021,2,Edtech,Seed/Angel,Kolkata,Edtech,Edtech
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,7866000,2022-05-07,2022,5,AI,Series A,Chennai,AI,Other
FinSense,FinTech,InsurTech,Pune,"Elevation Capital, IFC, Zodius Capital",Series A,1903000,2020-07-29,2020,7,Fintech,Series A,Pune,Fintech,Fintech
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,734000,2022-06-14,2022,6,Logistics,Seed/Angel,Delhi/NCR,Logistics,Logistics
HomeAnalytics,SaaS,B2B SaaS,Chennai,Matrix Partners India,Seed,194000,2022-10-25,2022,10,SaaS/Enterprise,Seed/Angel,Chennai,SaaS/Enterprise,SaaS/Enterprise
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,214425000,2023-08-24,2023,8,Fintech,Late Stage,Mumbai,Fintech,Fintech
FinSense_162,Enterprise,Security,Delhi,"LCatterton, Omidyar Network",Series C,111204000,2022-08-18,2022,8,SaaS/Enterprise,Series C,Delhi/NCR,SaaS/Enterprise,SaaS/Enterprise
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,4267000,2024-01-29,2024,1,Logistics,Series A,Delhi/NCR,Logistics,Logistics
SmartTech,E-commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,123000,2024-06-13,2024,6,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,50673000,2023-03-23,2023,3,Agritech,Series B,Bengaluru,Agritech,Agritech
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,209000,2023-03-14,2023,3,Foodtech,Seed/Angel,Ahmedabad,Foodtech,Foodtech
ShareChat,E-commerce,Grocery,Noida,"IFC, Sequoia Capital India",Series A,1657000,2022-11-05,2022,11,Ecommerce/D2C,Series A,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,110000,2020-05-18,2020,5,SaaS/Enterprise,Seed/Angel,Bengaluru,SaaS/Enterprise,SaaS/Enterprise
Zomato,Retail,Fashion,Pune,"Ribbit Capital, SoftBank Vision Fund",Seed,442000,2021-12-22,2021,12,Ecommerce/D2C,Seed/Angel,Pune,Ecommerce/D2C,Ecommerce/D2C
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,125287000,2020-05-09,2020,5,Other,Series C,Delhi/NCR,Other,Other
FarmFit,FinTech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,1046000,2024-07-27,2024,7,Fintech,Series A,Hyderabad,Fintech,Fintech
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,331000,2024-06-25,2024,6,SaaS/Enterprise,Seed/Angel,Pune,SaaS/Enterprise,SaaS/Enterprise
FoodFit,FoodTech,Food Delivery,Delhi,Peak XV,Series A,1847000,2022-10-15,2022,10,Foodtech,Series A,Delhi/NCR,Foodtech,Foodtech
NextStack,Media,Content,Mumbai,A91 Partners,Series A,5738000,2024-08-11,2024,8,Other,Series A,Mumbai,Other,Other
AgriSense,SaaS,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,1604000,2024-01-09,2024,1,SaaS/Enterprise,Series A,Hyderabad,SaaS/Enterprise,SaaS/Enterprise
EduMart_176,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global Management",Debt,7325000,2021-07-16,2021,7,SaaS/Enterprise,Debt,Ahmedabad,SaaS/Enterprise,SaaS/Enterprise
CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,208000,2020-10-19,2020,10,Ecommerce/D2C,Undisclosed,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
FreshSolutions_178,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,864000,2025-04-28,2025,4,Ecommerce/D2C,Seed/Angel,Pune,Ecommerce/D2C,Ecommerce/D2C
EduBox,SaaS,MarTech,Mumbai,Kalaari Capital,Series A,1451000,2022-12-20,2022,12,SaaS/Enterprise,Series A,Mumbai,SaaS/Enterprise,SaaS/Enterprise
QuantumSolutions,E-commerce,Quick Commerce,Delhi,"Bessemer Venture Partners, Nexus Venture Partners",Series A,2518000,2022-03-03,2022,3,Ecommerce/D2C,Series A,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
EduMart,AgriTech,Smart Farming,Kolkata,Info Edge,Seed,76000,2020-10-04,2020,10,Agritech,Seed/Angel,Kolkata,Agritech,Agritech
Ola,E-commerce,D2C,Pune,Elevation Capital,Series B,64925000,2023-01-31,2023,1,Ecommerce/D2C,Series B,Pune,Ecommerce/D2C,Ecommerce/D2C
NextSense,Media,Streaming,Delhi,Nexus Venture Partners,Series C,215209000,2022-11-07,2022,11,Other,Series C,Delhi/NCR,Other,Other
CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,181000,2023-03-18,2023,3,Edtech,Seed/Angel,Bengaluru,Edtech,Edtech
LogiSense,E-commerce,Quick Commerce,Hyderabad,"Kalaari Capital, Mirae Asset",Pre-Series A,457000,2024-01-08,2024,1,Ecommerce/D2C,Seed/Angel,Hyderabad,Ecommerce/D2C,Ecommerce/D2C
Groww,HealthTech,Pharmacy,Mumbai,"IFC, SoftBank Vision Fund",Series A,9144000,2023-10-24,2023,10,Healthtech,Series A,Mumbai,Healthtech,Healthtech
BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,26000,2020-04-23,2020,4,Healthtech,Seed/Angel,Delhi/NCR,Healthtech,Healthtech
Oyo,HealthTech,Diagnostics,Pune,Peak XV,Angel,24000,2021-04-06,2021,4,Healthtech,Seed/Angel,Pune,Healthtech,Healthtech
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,122000,2023-07-04,2023,7,Logistics,Seed/Angel,Delhi/NCR,Logistics,Logistics
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,1287000,2023-04-04,2023,4,EV/Cleantech,Series A,Delhi/NCR,EV/Cleantech,EV/Cleantech
BlueSpace,AgriTech,Supply Chain,Bengaluru,"Bessemer Venture Partners, Lightspeed India, Matrix Partners India",Seed,1369000,2025-04-26,2025,4,Agritech,Seed/Angel,Bengaluru,Agritech,Agritech
SkillRise,FinTech,InsurTech,Noida,Mirae Asset,Seed,1385000,2025-05-13,2025,5,Fintech,Seed/Angel,Delhi/NCR,Fintech,Fintech
CoreConnect,E-commerce,Quick Commerce,Delhi,"Lightspeed India, Omidyar Network",Series A,5554000,2022-09-18,2022,9,Ecommerce/D2C,Series A,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
HyperLabs,SaaS,HRTech,Chennai,"A91 Partners, SoftBank Vision Fund",Seed,175000,2022-01-28,2022,1,SaaS/Enterprise,Seed/Angel,Chennai,SaaS/Enterprise,SaaS/Enterprise
InMobi,E-commerce,D2C,Kolkata,Elevation Capital,Seed,181000,2020-07-17,2020,7,Ecommerce/D2C,Seed/Angel,Kolkata,Ecommerce/D2C,Ecommerce/D2C
AeroHub,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, Kedaara Capital",Series C,142830000,2025-03-27,2025,3,Foodtech,Series C,Delhi/NCR,Foodtech,Foodtech
NextSense,Mobility,EV,Kolkata,Accel,Growth,533548000,2022-10-15,2022,10,EV/Cleantech,Late Stage,Kolkata,EV/Cleantech,EV/Cleantech
DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,771000,2020-04-13,2020,4,Edtech,Seed/Angel,Ahmedabad,Edtech,Edtech
CoreSpace,FinTech,Payments,Chennai,"Kalaari Capital, Tiger Global, Y Combinator",Seed,888000,2021-06-25,2021,6,Fintech,Seed/Angel,Chennai,Fintech,Fintech
Udaan,AgriTech,Marketplace,Gurugram,Kalaari Capital,Pre-Series A,439000,2021-08-14,2021,8,Agritech,Seed/Angel,Delhi/NCR,Agritech,Agritech
EduBox,Logistics,Fleet Management,Ahmedabad,Kalaari Capital,Seed,68000,2025-06-19,2025,6,Logistics,Seed/Angel,Ahmedabad,Logistics,Logistics
BlueSpace,SaaS,DevTools,Gurugram,Tiger Global,Series A,1549000,2022-04-02,2022,4,SaaS/Enterprise,Series A,Delhi/NCR,SaaS/Enterprise,SaaS/Enterprise
WorkStack,Mobility,EV,Delhi,SoftBank Vision Fund,Series A,11397000,2022-11-21,2022,11,EV/Cleantech,Series A,Delhi/NCR,EV/Cleantech,EV/Cleantech
FoodLoop,AgriTech,Marketplace,Hyderabad,"Falcon Edge, Kedaara Capital",Series A,5167000,2022-11-04,2022,11,Agritech,Series A,Hyderabad,Agritech,Agritech
Delhivery,Consumer Electronics,Audio,Pune,"Bessemer Venture Partners, Omidyar Network",Seed,52000,2020-08-12,2020,8,Other,Seed/Angel,Pune,Other,Other
GrowthFlow,Logistics,Fleet Management,Ahmedabad,Omidyar Network,Series A,1316000,2024-01-17,2024,1,Logistics,Series A,Ahmedabad,Logistics,Logistics
Lenskart,Mobility,Micro Mobility,Ahmedabad,Zodius Capital,Series C,120606000,2022-02-17,2022,2,EV/Cleantech,Series C,Ahmedabad,EV/Cleantech,EV/Cleantech
HomeMart_208,Media,Social,Gurugram,"Nexus Venture Partners, Prosus Ventures",Pre-Seed,20000,2021-10-04,2021,10,Other,Seed/Angel,Delhi/NCR,Other,Other
Flipkart,Mobility,Micro Mobility,Kolkata,"Lightspeed India, Nexus Venture Partners, Tiger Global",Growth,76432000,2024-02-15,2024,2,EV/Cleantech,Late Stage,Kolkata,EV/Cleantech,EV/Cleantech
NeoSense,Consumer Electronics,Smart Home,Chennai,"LCatterton, SoftBank Vision Fund",Seed,379000,2020-12-20,2020,12,Other,Seed/Angel,Chennai,Other,Other
AgriFit,Enterprise,Automation,Hyderabad,Elevation Capital,Series A,6512000,2021-01-28,2021,1,SaaS/Enterprise,Series A,Hyderabad,SaaS/Enterprise,SaaS/Enterprise
Delhivery,EdTech,UpSkilling,Hyderabad,"A91 Partners, Mirae Asset",Series B,30480000,2023-11-14,2023,11,Edtech,Series B,Hyderabad,Edtech,Edtech
SkillSolutions,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Pre-Series A,168000,2025-06-30,2025,6,Agritech,Seed/Angel,Delhi/NCR,Agritech,Agritech
GreenConnect,Logistics,Fleet Management,Mumbai,"Lightspeed India, Matrix Partners India, Mirae Asset",Seed,692000,2022-06-24,2022,6,Logistics,Seed/Angel,Mumbai,Logistics,Logistics
SkillFlow,Media,Content,Delhi,"Matrix Partners India, Tiger Global",Seed,120000,2024-02-26,2024,2,Other,Seed/Angel,Delhi/NCR,Other,Other
Zepto,RealEstate,PropTech,Bengaluru,"Mirae Asset, Nexus Venture Partners, Prosus Ventures",Seed,166000,2021-11-07,2021,11,Proptech,Seed/Angel,Bengaluru,Proptech,Proptech
NextSense,Consumer Electronics,Wearables,Gurugram,Elevation Capital,Series C,150998000,2021-08-11,2021,8,Other,Series C,Delhi/NCR,Other,Other
HealthWorks,E-commerce,Grocery,Gurugram,LCatterton,Series A,5808000,2024-01-20,2024,1,Ecommerce/D2C,Series A,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
NoBroker,FoodTech,Cloud Kitchen,Bengaluru,"Blume Ventures, Ventures India",Debt,19590000,2022-03-24,2022,3,Foodtech,Debt,Bengaluru,Foodtech,Foodtech
Cars24,FinTech,Payments,Hyderabad,Elevation Capital,Series A,5935000,2020-08-07,2020,8,Fintech,Series A,Hyderabad,Fintech,Fintech
NimbusLabs,HealthTech,Health Analytics,Hyderabad,Blume Ventures,Seed,407000,2020-08-18,2020,8,Healthtech,Seed/Angel,Hyderabad,Healthtech,Healthtech
LogiRise,Media,Social,Bengaluru,A91 Partners,Series B,6483000,2024-06-07,2024,6,Other,Series B,Bengaluru,Other,Other
CloudLabs,Enterprise,Automation,Chennai,Accel,Series C,54137000,2022-11-21,2022,11,SaaS/Enterprise,Series C,Chennai,SaaS/Enterprise,SaaS/Enterprise
Wakefit,HealthTech,Diagnostics,Kolkata,Matrix Partners India,Seed,133000,2021-05-23,2021,5,Healthtech,Seed/Angel,Kolkata,Healthtech,Healthtech
FinSpace,Logistics,Supply Chain,Hyderabad,Matrix Partners India,Series A,1936000,2023-03-19,2023,3,Logistics,Series A,Hyderabad,Logistics,Logistics
ShareChat,Media,Social,Bengaluru,Blume Ventures,Series B,74232000,2022-08-11,2022,8,Other,Series B,Bengaluru,Other,Other
AeroAnalytics,Media,Content,Mumbai,Y Combinator,Series B,14870000,2025-04-10,2025,4,Other,Series B,Mumbai,Other,Other
HomeAnalytics,HealthTech,Health Analytics,Delhi,Kalaari Capital,Series A,11198000,2023-05-25,2023,5,Healthtech,Series A,Delhi/NCR,Healthtech,Healthtech
CoreSpace,Retail,Fashion,Gurugram,"Accel, IFC",Series C,110486000,2023-10-25,2023,10,Ecommerce/D2C,Series C,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
EduMart,SaaS,B2B SaaS,Ahmedabad,"LCatterton, Lightspeed India",Seed,938000,2024-08-24,2024,8,SaaS/Enterprise,Seed/Angel,Ahmedabad,SaaS/Enterprise,SaaS/Enterprise
WorkPay,Enterprise,Automation,Kolkata,"Accel, Falcon Edge, Omidyar Network",Seed,319000,2021-02-24,2021,2,SaaS/Enterprise,Seed/Angel,Kolkata,SaaS/Enterprise,SaaS/Enterprise
NimbusMart,Mobility,EV,Kolkata,"Prosus Ventures, SoftBank Vision Fund",Series A,4770000,2023-02-18,2023,2,EV/Cleantech,Series A,Kolkata,EV/Cleantech,EV/Cleantech
DataAnalytics,Enterprise,Analytics,Gurugram,"SoftBank Vision Fund, Tiger Global",Series A,3795000,2020-04-02,2020,4,SaaS/Enterprise,Series A,Delhi/NCR,SaaS/Enterprise,SaaS/Enterprise
HealthWorks,E-commerce,Fashion,Bengaluru,Ventures India,Seed,103000,2021-01-03,2021,1,Ecommerce/D2C,Seed/Angel,Bengaluru,Ecommerce/D2C,Ecommerce/D2C
QuantumDrive,FoodTech,Food Delivery,Chennai,"IFC, Nexus Venture Partners",Pre-Series A,528000,2023-10-30,2023,10,Foodtech,Seed/Angel,Chennai,Foodtech,Foodtech
Housejoy,HealthTech,Health Analytics,Noida,Zodius Capital,Seed,141000,2025-06-27,2025,6,Healthtech,Seed/Angel,Delhi/NCR,Healthtech,Healthtech
DataAnalytics,Consumer Electronics,Smart Home,Noida,Matrix Partners India,Pre-Series A,106000,2022-02-15,2022,2,Other,Seed/Angel,Delhi/NCR,Other,Other
FoodSolutions,EdTech,Test Prep,Bengaluru,"IFC, Ventures India",Series C,114859000,2022-05-08,2022,5,Edtech,Series C,Bengaluru,Edtech,Edtech
PhonePe,EdTech,K12,Mumbai,"Kedaara Capital, Omidyar Network",Seed,96000,2020-03-09,2020,3,Edtech,Seed/Angel,Mumbai,Edtech,Edtech
Postman,EdTech,Test Prep,Chennai,Ventures India,Series A,12766000,2023-01-10,2023,1,Edtech,Series A,Chennai,Edtech,Edtech
NimbusMart,Logistics,Last Mile,Ahmedabad,"IFC, Matrix Partners India, Zodius Capital",Seed,1687000,2023-05-09,2023,5,Logistics,Seed/Angel,Ahmedabad,Logistics,Logistics
HomeAnalytics,Logistics,Last Mile,Noida,"Info Edge, LCatterton, Ribbit Capital",Bridge,1461000,2024-12-06,2024,12,Logistics,Undisclosed,Delhi/NCR,Logistics,Logistics
NimbusLabs_243,SaaS,MarTech,Noida,"Nexus Venture Partners, Y Combinator",Seed,196000,2022-05-02,2022,5,SaaS/Enterprise,Seed/Angel,Delhi/NCR,SaaS/Enterprise,SaaS/Enterprise
FarmBox,EdTech,UpSkilling,Delhi,A91 Partners,Series C,20855000,2025-02-16,2025,2,Edtech,Series C,Delhi/NCR,Edtech,Edtech
SkillRise,HealthTech,Health Analytics,Gurugram,"Accel, Info Edge, Y Combinator",Seed,1535000,2021-11-07,2021,11,Healthtech,Seed/Angel,Delhi/NCR,Healthtech,Healthtech
FinFoods_246,FoodTech,Grocery,Ahmedabad,Blume Ventures,Series A,3188000,2024-11-24,2024,11,Foodtech,Series A,Ahmedabad,Foodtech,Foodtech
GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,1769000,2020-02-01,2020,2,SaaS/Enterprise,Undisclosed,Hyderabad,SaaS/Enterprise,SaaS/Enterprise
Housejoy,Media,Content,Gurugram,Kalaari Capital,Series B,72324000,2023-12-12,2023,12,Other,Series B,Delhi/NCR,Other,Other
MediWorks,Retail,Grocery,Chennai,SoftBank Vision Fund,Series A,10074000,2023-08-21,2023,8,Ecommerce/D2C,Series A,Chennai,Ecommerce/D2C,Ecommerce/D2C
ShareChat,Mobility,EV,Kolkata,"SoftBank Vision Fund, Ventures India",Seed,148000,2024-01-19,2024,1,EV/Cleantech,Seed/Angel,Kolkata,EV/Cleantech,EV/Cleantech
CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,138147000,2024-02-27,2024,2,Foodtech,Late Stage,Ahmedabad,Foodtech,Foodtech
SkillRise,EdTech,UpSkilling,Gurugram,Mirae Asset,Pre-Series A,710000,2024-09-02,2024,9,Edtech,Seed/Angel,Delhi/NCR,Edtech,Edtech
BlueSpace,Enterprise,Security,Kolkata,Blume Ventures,Series A,2359000,2024-02-09,2024,2,SaaS/Enterprise,Series A,Kolkata,SaaS/Enterprise,SaaS/Enterprise
NeoLabs,Mobility,Micro Mobility,Bengaluru,Peak XV,Series A,1582000,2024-09-14,2024,9,EV/Cleantech,Series A,Bengaluru,EV/Cleantech,EV/Cleantech
Postman,Retail,E-Retail,Chennai,Tiger Global,Seed,390000,2023-07-15,2023,7,Ecommerce/D2C,Seed/Angel,Chennai,Ecommerce/D2C,Ecommerce/D2C
WorkPay_256,Mobility,EV,Pune,"LCatterton, Peak XV, Prosus Ventures",Seed,1580000,2023-07-30,2023,7,EV/Cleantech,Seed/Angel,Pune,EV/Cleantech,EV/Cleantech
PhonePe,FinTech,NeoBank,Noida,"Falcon Edge, Kedaara Capital",Pre-Series A,497000,2020-02-04,2020,2,Fintech,Seed/Angel,Delhi/NCR,Fintech,Fintech
SmartTech_258,Enterprise,Automation,Chennai,Accel,Series C,93643000,2025-02-06,2025,2,SaaS/Enterprise,Series C,Chennai,SaaS/Enterprise,SaaS/Enterprise
Wakefit,Mobility,Ride Sharing,Gurugram,Zodius Capital,Seed,72000,2022-12-14,2022,12,EV/Cleantech,Seed/Angel,Delhi/NCR,EV/Cleantech,EV/Cleantech
NextStack,E-commerce,D2C,Chennai,"IFC, Lightspeed India, Prosus Ventures",Series A,5288000,2021-05-13,2021,5,Ecommerce/D2C,Series A,Chennai,Ecommerce/D2C,Ecommerce/D2C
GreenMart,FoodTech,Food Delivery,Noida,Kedaara Capital,Series A,14601000,2023-07-28,2023,7,Foodtech,Series A,Delhi/NCR,Foodtech,Foodtech
WorkFit,FoodTech,Grocery,Pune,LCatterton,Series A,1461000,2024-10-23,2024,10,Foodtech,Series A,Pune,Foodtech,Foodtech
Razorpay,EdTech,K12,Ahmedabad,Prosus Ventures,Series A,4070000,2020-04-05,2020,4,Edtech,Series A,Ahmedabad,Edtech,Edtech
QuantumSolutions,AgriTech,Marketplace,Bengaluru,Sequoia Capital India,Seed,1272000,2024-10-07,2024,10,Agritech,Seed/Angel,Bengaluru,Agritech,Agritech
FarmTech,Retail,Fashion,Chennai,A91 Partners,Angel,46000,2021-09-04,2021,9,Ecommerce/D2C,Seed/Angel,Chennai,Ecommerce/D2C,Ecommerce/D2C
UrbanDrive,Mobility,EV,Chennai,"Falcon Edge, Kedaara Capital, Tiger Global Management",Series C,132064000,2020-10-13,2020,10,EV/Cleantech,Series C,Chennai,EV/Cleantech,EV/Cleantech
Udaan,E-commerce,Fashion,Gurugram,"Peak XV, Ventures India",Series D,252031000,2021-11-28,2021,11,Ecommerce/D2C,Late Stage,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
AutoMart,SaaS,B2B SaaS,Hyderabad,"A91 Partners, Lightspeed India",Series C,52945000,2022-07-11,2022,7,SaaS/Enterprise,Series C,Hyderabad,SaaS/Enterprise,SaaS/Enterprise
UrbanSolutions,RealEstate,Rental Tech,Chennai,Bessemer Venture Partners,Seed,148000,2023-06-20,2023,6,Proptech,Seed/Angel,Chennai,Proptech,Proptech
Groww,E-commerce,D2C,Delhi,"Blume Ventures, Kalaari Capital, Y Combinator",Pre-Series A,645000,2024-05-24,2024,5,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
Bounce,FinTech,WealthTech,Kolkata,Nexus Venture Partners,Pre-Series A,646000,2021-07-06,2021,7,Fintech,Seed/Angel,Kolkata,Fintech,Fintech
DataEdge,Mobility,Micro Mobility,Noida,Y Combinator,Pre-Series A,736000,2020-02-23,2020,2,EV/Cleantech,Seed/Angel,Delhi/NCR,EV/Cleantech,EV/Cleantech
Bounce,AgriTech,Marketplace,Pune,Kalaari Capital,Growth,556750000,2020-01-26,2020,1,Agritech,Late Stage,Pune,Agritech,Agritech
WorkFit,Mobility,Ride Sharing,Ahmedabad,"Blume Ventures, Matrix Partners India",Series A,3994000,2023-11-04,2023,11,EV/Cleantech,Series A,Ahmedabad,EV/Cleantech,EV/Cleantech
NextStack,E-commerce,Marketplace,Chennai,"Bessemer Venture Partners, Y Combinator",Seed,318000,2021-09-05,2021,9,Ecommerce/D2C,Seed/Angel,Chennai,Ecommerce/D2C,Ecommerce/D2C
LogiMart,Consumer Electronics,Smart Home,Ahmedabad,Elevation Capital,Seed,950000,2020-08-07,2020,8,Other,Seed/Angel,Ahmedabad,Other,Other
AutoMart,AgriTech,Smart Farming,Pune,"Nexus Venture Partners, SoftBank Vision Fund, Tiger Global Management",Series A,5813000,2022-05-31,2022,5,Agritech,Series A,Pune,Agritech,Agritech
CloudPay,HealthTech,Health Analytics,Pune,"A91 Partners, Matrix Partners India, Mirae Asset",Seed,666000,2023-11-24,2023,11,Healthtech,Seed/Angel,Pune,Healthtech,Healthtech
UrbanSolutions,Retail,Grocery,Pune,Omidyar Network,Seed,942000,2023-02-28,2023,2,Ecommerce/D2C,Seed/Angel,Pune,Ecommerce/D2C,Ecommerce/D2C
BlueTech,Mobility,Ride Sharing,Kolkata,"Bessemer Venture Partners, Zodius Capital",Bridge,1333000,2021-03-05,2021,3,EV/Cleantech,Undisclosed,Kolkata,EV/Cleantech,EV/Cleantech
CRED,Enterprise,Security,Kolkata,Matrix Partners India,Seed,174000,2021-09-12,2021,9,SaaS/Enterprise,Seed/Angel,Kolkata,SaaS/Enterprise,SaaS/Enterprise
HyperLoop,Retail,Grocery,Mumbai,"Falcon Edge, Omidyar Network",Series A,2765000,2023-05-09,2023,5,Ecommerce/D2C,Series A,Mumbai,Ecommerce/D2C,Ecommerce/D2C
QuantumDrive,Retail,Grocery,Noida,Accel,Series A,1290000,2025-02-15,2025,2,Ecommerce/D2C,Series A,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
LogiMart,SaaS,DevTools,Ahmedabad,"Ribbit Capital, SoftBank Vision Fund, Tiger Global Management",Pre-Seed,76000,2023-08-14,2023,8,SaaS/Enterprise,Seed/Angel,Ahmedabad,SaaS/Enterprise,SaaS/Enterprise
Paytm,E-commerce,Quick Commerce,Mumbai,"A91 Partners, Falcon Edge, Omidyar Network",Seed,57000,2022-11-11,2022,11,Ecommerce/D2C,Seed/Angel,Mumbai,Ecommerce/D2C,Ecommerce/D2C
EduMart,Consumer Electronics,Smart Home,Ahmedabad,Tiger Global Management,Series B,18181000,2020-11-04,2020,11,Other,Series B,Ahmedabad,Other,Other
AgriHive,FoodTech,Cloud Kitchen,Mumbai,Y Combinator,Series D,174427000,2024-02-04,2024,2,Foodtech,Late Stage,Mumbai,Foodtech,Foodtech
DataHive,EdTech,Coding Bootcamp,Pune,"Elevation Capital, Kedaara Capital, SoftBank Vision Fund",Series A,2173000,2022-06-16,2022,6,Edtech,Series A,Pune,Edtech,Edtech
Porter,FinTech,WealthTech,Mumbai,"Blume Ventures, Matrix Partners India",Series B,25728000,2020-12-02,2020,12,Fintech,Series B,Mumbai,Fintech,Fintech
DriveLoop,EdTech,Coding Bootcamp,Delhi,"Kalaari Capital, Ventures India",Seed,56000,2023-09-08,2023,9,Edtech,Seed/Angel,Delhi/NCR,Edtech,Edtech
BlueRise,FoodTech,Food Delivery,Bengaluru,Ventures India,Series B,5546000,2021-02-25,2021,2,Foodtech,Series B,Bengaluru,Foodtech,Foodtech
Byju's,AgriTech,Supply Chain,Noida,Info Edge,Seed,1040000,2021-10-29,2021,10,Agritech,Seed/Angel,Delhi/NCR,Agritech,Agritech
CureFit,RealEstate,Home Services,Noida,Kalaari Capital,Bridge,189000,2021-10-03,2021,10,Proptech,Undisclosed,Delhi/NCR,Proptech,Proptech
Porter,SaaS,HRTech,Kolkata,"Elevation Capital, Kedaara Capital, Omidyar Network",Series A,1411000,2024-07-24,2024,7,SaaS/Enterprise,Series A,Kolkata,SaaS/Enterprise,SaaS/Enterprise
WorkFit,SaaS,B2B SaaS,Gurugram,Kedaara Capital,Seed,343000,2021-01-09,2021,1,SaaS/Enterprise,Seed/Angel,Delhi/NCR,SaaS/Enterprise,SaaS/Enterprise
UrbanDrive,HealthTech,Health Analytics,Chennai,"Kedaara Capital, Ribbit Capital",Seed,856000,2023-07-25,2023,7,Healthtech,Seed/Angel,Chennai,Healthtech,Healthtech
NoBroker,Mobility,Ride Sharing,Kolkata,Zodius Capital,Seed,111000,2021-01-18,2021,1,EV/Cleantech,Seed/Angel,Kolkata,EV/Cleantech,EV/Cleantech
Udaan,Enterprise,Security,Bengaluru,"Falcon Edge, Tiger Global Management",Series A,5402000,2021-02-03,2021,2,SaaS/Enterprise,Series A,Bengaluru,SaaS/Enterprise,SaaS/Enterprise
NimbusLabs,Consumer Electronics,Wearables,Kolkata,"Sequoia Capital India, Ventures India",Series A,1260000,2020-06-18,2020,6,Other,Series A,Kolkata,Other,Other
Cars24,FinTech,WealthTech,Gurugram,"A91 Partners, Bessemer Venture Partners",Series A,1150000,2020-12-10,2020,12,Fintech,Series A,Delhi/NCR,Fintech,Fintech
